Name,Pillar (auto),Discipline,Line,Importance,Level,Keystone,Related To,Regressions,Progressions,Also Appears In,Variant Of,Session Role,Notes,,,,,,,,,,,,,,
Forward Skipping,Strength & Capacity,Bounciness & Elastic Power,Vertical Jump,2,3,FALSE,,,,,,,,,,,,,,,Vertical Jump,Horizontal Jump,,,,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Forward Roll,Flocomotion,Ground Locomotion,Rolling Locomotion,2,3,TRUE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Backward Roll,Flocomotion,Ground Locomotion,Rolling Locomotion,3,3,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Parkour Roll,Flocomotion,Ground Locomotion,Rolling Locomotion,1,3,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Parkour Roll - Backward,Flocomotion,Ground Locomotion,Rolling Locomotion,2,4,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Sideways Roll,Flocomotion,Ground Locomotion,Rolling Locomotion,2,1,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Dive Roll,Flocomotion,Ground Locomotion,Rolling Locomotion,3,5,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Vortex Roll,Flocomotion,Ground Locomotion,Rolling Locomotion,3,9,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Falling Leaf,Flocomotion,Ground Locomotion,Rolling Locomotion,3,8,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Handstand to Roll,Flocomotion,Ground Locomotion,Rolling Locomotion,2,6,FALSE,,,,Hand Balancing & Inversion - Static Inversion,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Belly to Belly Roll,Flocomotion,Ground Locomotion,Rolling Locomotion,3,6,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Cartwheel,Flocomotion,Inverted & Rotational Locomotion,Cartwheel Family,1,4,TRUE,,,,,,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Cartwheel - Mini,Flocomotion,Inverted & Rotational Locomotion,Cartwheel Family,2,2,FALSE,,,Cartwheel,,Cartwheel,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Cartwheel - Lazy,Flocomotion,Inverted & Rotational Locomotion,Cartwheel Family,2,2,FALSE,,,,,Cartwheel,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Cartwheel - One Arm,Flocomotion,Inverted & Rotational Locomotion,Cartwheel Family,3,6,FALSE,,Cartwheel,,,Cartwheel,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Cartwheel - Clock,Flocomotion,Inverted & Rotational Locomotion,Cartwheel Family,3,5,FALSE,,,,,Cartwheel,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Cartwheel - Jump,Flocomotion,Inverted & Rotational Locomotion,Cartwheel Family,3,5,FALSE,,Cartwheel,,,Cartwheel,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Cartwheel - Bent,Flocomotion,Inverted & Rotational Locomotion,Cartwheel Family,2,2,FALSE,,,,,Cartwheel,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Cartwheel - Front,Flocomotion,Inverted & Rotational Locomotion,Cartwheel Family,2,9,TRUE,,,,,,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Cartwheel - Mini Front,Flocomotion,Inverted & Rotational Locomotion,Cartwheel Family,2,4,FALSE,,,Cartwheel - Front,,Cartwheel - Front,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Cartwheel - Circle,Flocomotion,Inverted & Rotational Locomotion,Cartwheel Family,3,4,FALSE,,,,,,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Cartwheel - Cross,Flocomotion,Inverted & Rotational Locomotion,Cartwheel Family,3,6,FALSE,,,,,,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Rolê,Flocomotion,Inverted & Rotational Locomotion,Cartwheel Family,2,2,FALSE,,,,,,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Gumby,Flocomotion,Inverted & Rotational Locomotion,Cartwheel Family,2,6,FALSE,,,,,,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Aerial,Flocomotion,Inverted & Rotational Locomotion,Flips & Handsprings,3,9,FALSE,,,,Inverted & Rotational Locomotion - Cartwheel Family,,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Float - Backside,Flocomotion,Inverted & Rotational Locomotion,Cartwheel Family,2,4,FALSE,,,,Rhythm & Flow - Kicks,,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Float - Frontside,Flocomotion,Inverted & Rotational Locomotion,Cartwheel Family,2,5,FALSE,,,,Rhythm & Flow - Kicks,,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Meia Lua Kick,Flocomotion,Rhythm & Flow,Kicks,1,3,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Sweep Kick,Flocomotion,Rhythm & Flow,Kicks,1,2,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Crescent Kick - Inside,Flocomotion,Rhythm & Flow,Kicks,3,2,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Crescent Kick - Outside,Flocomotion,Rhythm & Flow,Kicks,3,2,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Crescent Kick - Pop,Flocomotion,Rhythm & Flow,Kicks,3,6,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Monkey Kick,Flocomotion,Rhythm & Flow,Kicks,2,6,FALSE,Monkey Flip,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Roundhouse Kick,Flocomotion,Rhythm & Flow,Kicks,3,3,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Tornado Kick,Flocomotion,Rhythm & Flow,Kicks,3,6,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Butterfly Kick,Flocomotion,Rhythm & Flow,Kicks,2,6,FALSE,Butterfly Twist,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Butterfly Twist,Flocomotion,Inverted & Rotational Locomotion,Flips & Handsprings,3,9,FALSE,Butterfly Kick,,,,,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Hook Kick,Flocomotion,Rhythm & Flow,Kicks,3,3,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Monkey Flip,Flocomotion,Rhythm & Flow,Acrobatics,2,4,TRUE,Monkey Kick,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Schwheel,Flocomotion,Rhythm & Flow,Acrobatics,3,4,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Coin,Flocomotion,Rhythm & Flow,Acrobatics,3,4,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Handspin,Flocomotion,Rhythm & Flow,Acrobatics,3,4,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Barrel Roll,Flocomotion,Rhythm & Flow,Acrobatics,3,3,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Reversão,Flocomotion,Rhythm & Flow,Acrobatics,3,9,TRUE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Gainer,Flocomotion,Inverted & Rotational Locomotion,Flips & Handsprings,3,9,FALSE,,,,,,,,,,,,,,,Walkovers,Cartwheel Family,Flips & Handsprings,,,,
Helicóptero,Flocomotion,Rhythm & Flow,Acrobatics,3,7,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Arm Swipe,Flocomotion,Rhythm & Flow,Acrobatics,2,3,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Tick Tock,Mobility,Spinal Mobility,Spinal Extension & Bridging,3,5,FALSE,,,,,,,,,,,,,,,Spinal Extension & Bridging,Spinal Waves,,,,,
Drop Back,Mobility,Spinal Mobility,Spinal Extension & Bridging,3,5,FALSE,,,,,,,,,,,,,,,Spinal Extension & Bridging,Spinal Waves,,,,,
