Name,Pillar (auto),Discipline,Line,Importance,Level,Keystone,Related To,Regressions,Progressions,Also Appears In,Variant Of,Session Role,Notes,,,,,,,,,,,,,,
Muscle Up - Rings,Strength & Capacity,Hanging & Pulling,Pull-to-Press Transition,2,8,TRUE,"Pull Up, Dip - Rings",,,"Pressing Strength - Dip Press, Hanging & Pulling - Vertical Pull",,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Muscle Up - Baby,Strength & Capacity,Hanging & Pulling,Pull-to-Press Transition,2,6,FALSE,,,,"Pressing Strength - Dip Press, Hanging & Pulling - Vertical Pull",Muscle Up - Rings,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Muscle Up - Negative,Strength & Capacity,Hanging & Pulling,Pull-to-Press Transition,2,6,FALSE,,,,"Pressing Strength - Dip Press, Hanging & Pulling - Vertical Pull",Muscle Up - Rings,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Muscle Up - Transition,Strength & Capacity,Hanging & Pulling,Pull-to-Press Transition,2,5,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Push Up,Strength & Capacity,Pressing Strength,Horizontal Press,1,3,TRUE,,,,,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Push Up - Knees,Strength & Capacity,Pressing Strength,Horizontal Press,2,1,FALSE,,,,,Push Up,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Push Up - Box,Strength & Capacity,Pressing Strength,Horizontal Press,2,2,FALSE,,,,,Push Up,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Push Up - Negative,Strength & Capacity,Pressing Strength,Horizontal Press,2,2,FALSE,,,,,Push Up,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Push Up - Deficit,Strength & Capacity,Pressing Strength,Horizontal Press,2,5,FALSE,,,,,Push Up,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Push Up - One Arm,Strength & Capacity,Pressing Strength,Horizontal Press,2,9,FALSE,,,,,Push Up,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Push Up - Clap,Strength & Capacity,Pressing Strength,Horizontal Press,2,6,FALSE,,,,,Push Up,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Push Up - Fists,Strength & Capacity,Pressing Strength,Horizontal Press,2,4,FALSE,,,,,Push Up,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Push Up - Fingertips,Strength & Capacity,Pressing Strength,Horizontal Press,2,6,FALSE,,,,,Push Up,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Push Up - Tiger Bend,Strength & Capacity,Pressing Strength,Horizontal Press,2,8,FALSE,,,,,Push Up,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Push Up - Fin,Strength & Capacity,Pressing Strength,Horizontal Press,2,6,FALSE,,,,,Push Up,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Push Up - Knuckles to Fin,Strength & Capacity,Pressing Strength,Horizontal Press,2,7,FALSE,,,,,Push Up,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Push Up - Rings,Strength & Capacity,Pressing Strength,Horizontal Press,2,5,FALSE,,,,,Push Up,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Pike Push Up,Strength & Capacity,Pressing Strength,Vertical Press,2,5,FALSE,,,,,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Pike Push Up - Bent Legs,Strength & Capacity,Pressing Strength,Vertical Press,2,3,FALSE,,,,,Pike Push Up,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Handstand Push Up,Strength & Capacity,Pressing Strength,Vertical Press,2,8,TRUE,Handstand - Freestanding,,,Hand Balancing & Inversion - Static Inversion,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Handstand Push Up - Box,Strength & Capacity,Pressing Strength,Vertical Press,2,6,FALSE,,,,,Handstand Push Up,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Handstand Push Up - Wall,Strength & Capacity,Pressing Strength,Vertical Press,2,6,FALSE,,,,,Handstand Push Up,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Handstand Push Up - Deficit,Strength & Capacity,Pressing Strength,Vertical Press,2,9,FALSE,,,,Hand Balancing & Inversion - Static Inversion,Handstand Push Up,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
QDR - Push Up,Strength & Capacity,Pressing Strength,Bent-Arm to Straight-Arm Press,2,9,FALSE,,,,Hand Balancing & Inversion - Bent-Arm Balances,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Bridge - Push Up,Mobility,Spinal Mobility,Spinal Extension & Bridging,2,6,FALSE,,,,Pressing Strength - Vertical Press,,,,,,,,,,,Spinal Extension & Bridging,Spinal Waves,,,,,
Tricep Extension - Rings,Strength & Capacity,Pressing Strength,Arms & Accessory,2,3,FALSE,,,,,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Dip - Box,Strength & Capacity,Pressing Strength,Dip Press,2,3,FALSE,,,,,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Dip - Rings,Strength & Capacity,Pressing Strength,Dip Press,1,5,FALSE,,,,,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Dip - Rings Banded,Strength & Capacity,Pressing Strength,Dip Press,2,4,FALSE,,,,,Dip - Rings,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Dip - Rings Jumping,Strength & Capacity,Pressing Strength,Dip Press,2,4,FALSE,,,,,Dip - Rings,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Dip - Low Hold,Strength & Capacity,Pressing Strength,Dip Press,2,5,FALSE,,,,,Dip - Rings,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Shoulder Press - Dumbbell,Strength & Capacity,Pressing Strength,Vertical Press,2,3,FALSE,,,,,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Shoulder Press - Barbell,Strength & Capacity,Pressing Strength,Vertical Press,2,4,FALSE,,,,,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Thruster,Strength & Capacity,Loaded Lower Body Strength,Bilateral Squat,2,5,FALSE,,,,Pressing Strength - Vertical Press,,,,,,,,,,,Bilateral Squat,Single-Leg Squat & Lunge,Lateral / Mobility Squat,Hip Hinge,Posterior Chain (knee),Anterior Chain (knee),Calf & Ankle
Jerk,Strength & Capacity,Pressing Strength,Vertical Press,2,7,FALSE,,,,Loaded Lower Body Strength - Bilateral Squat,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Crow to Handstand,Strength & Capacity,Pressing Strength,Bent-Arm to Straight-Arm Press,2,7,FALSE,,,,Hand Balancing & Inversion - Bent-Arm Balances,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Shoulder Stand to Handstand,Strength & Capacity,Pressing Strength,Bent-Arm to Straight-Arm Press,2,7,FALSE,,,,Hand Balancing & Inversion - Bent-Arm Balances,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Handstand to QDR,Strength & Capacity,Pressing Strength,Bent-Arm to Straight-Arm Press,2,9,FALSE,,,,Hand Balancing & Inversion - Bent-Arm Balances,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Handstand to Croc,Strength & Capacity,Pressing Strength,Bent-Arm to Straight-Arm Press,2,8,FALSE,,,,Hand Balancing & Inversion - Bent-Arm Balances,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
2 Ball,Object Play,Object Play,Juggling,2,2,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
3 Ball Cascade,Object Play,Object Play,Juggling,1,3,TRUE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
3 Ball Reverse Cascade,Object Play,Object Play,Juggling,2,5,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
3 Ball Mills Mess,Object Play,Object Play,Juggling,2,6,TRUE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
3 Ball Take Outs,Object Play,Object Play,Juggling,2,6,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
3 Ball Shower,Object Play,Object Play,Juggling,3,5,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
3 Ball Flash,Object Play,Object Play,Juggling,2,4,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
4 Ball Fountain,Object Play,Object Play,Juggling,2,7,TRUE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
4 Ball Fountain - Reverse,Object Play,Object Play,Juggling,2,8,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
2 Up 2 Over,Object Play,Object Play,Juggling,2,3,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
5 Ball Cascade,Object Play,Object Play,Juggling,2,9,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Tennis Juggling,Object Play,Object Play,Juggling,2,4,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Box,Object Play,Object Play,Juggling,2,5,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
4 Ball RLRL,Object Play,Object Play,Juggling,2,7,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
4 Ball RLLR,Object Play,Object Play,Juggling,2,7,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
3 Ball Behind the Back,Object Play,Object Play,Juggling,2,6,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
3 Club Cascade,Object Play,Object Play,Juggling,2,6,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
4 Club Fountain,Object Play,Object Play,Juggling,2,8,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Weighted Juggling,Object Play,Object Play,Juggling,2,4,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Rings Juggling,Object Play,Object Play,Juggling,2,5,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
2 Ball Shuffling,Object Play,Object Play,Juggling,2,3,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Contact Juggling,Object Play,Object Play,Juggling,3,7,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
3 Ball Steal,Object Play,Object Play,Juggling,3,5,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
3 Ball Factory,Object Play,Object Play,Juggling,3,6,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
2 Ball Columns,Object Play,Object Play,Juggling,3,2,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
3 in One Hand Juggling,Object Play,Object Play,Juggling,3,7,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Bo-Staff - Forward Spin,Object Play,Object Play,Staff,1,2,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Bo-Staff - Backward Spin,Object Play,Object Play,Staff,2,2,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Bo-Staff - Forward to Backward,Object Play,Object Play,Staff,2,3,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Bo-Staff - Endless Spin,Object Play,Object Play,Staff,2,5,TRUE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Bo-Staff - Around the World,Object Play,Object Play,Staff,2,4,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Bo-Staff - Endless Spin Release,Object Play,Object Play,Staff,2,7,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Bo-Staff - Behind the Back,Object Play,Object Play,Staff,2,6,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Bo-Staff - Around the World Release,Object Play,Object Play,Staff,2,7,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Bo-Staff - Palm Spin,Object Play,Object Play,Staff,2,4,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Bo-Staff - Butterfly Spin,Object Play,Object Play,Staff,2,6,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Bo-Staff - Neck Roll,Object Play,Object Play,Staff,3,5,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Bo-Staff - Toss / Catch,Object Play,Object Play,Staff,3,6,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Bouncing Tennis Ball,Object Play,Object Play,Ball Skills,3,2,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Throw and Catch Behind the Back,Object Play,Object Play,Ball Skills,3,4,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Throw and Catch Tennis Ball,Object Play,Object Play,Ball Skills,3,1,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Stand to Sit Bouncing Tennis Ball,Object Play,Object Play,Ball Skills,3,4,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Pancake Bouncing Tennis Ball,Object Play,Object Play,Ball Skills,3,5,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Hanging Throwing and Catching,Object Play,Object Play,Ball Skills,3,6,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
Hacky Sack,Object Play,Object Play,Ball Skills,3,4,FALSE,,,,,,,,,,,,,,,Staff,Juggling,Ball Skills,,,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Stick Dislocate,Mobility,Shoulder & Thoracic Mobility,Shoulder Rotation,3,2,FALSE,,,,,,,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Stick Overhead Side Flexion,Mobility,Shoulder & Thoracic Mobility,Lat & Side Body,3,2,FALSE,,,,,,,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Stick Twist,Mobility,Shoulder & Thoracic Mobility,Shoulder Rotation,3,2,FALSE,,,,,,,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Stick Circles,Mobility,Shoulder & Thoracic Mobility,Shoulder Rotation,3,2,FALSE,,,,,,,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Stick Side Flexion,Mobility,Shoulder & Thoracic Mobility,Lat & Side Body,3,2,FALSE,,,,,,,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Stick External Rotation,Mobility,Shoulder & Thoracic Mobility,Shoulder Rotation,3,3,FALSE,,,,,,,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Stick Kneeling Thoracic Rotation,Mobility,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,3,2,FALSE,,,,,,,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Stick Shoulder Opener,Mobility,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,3,2,FALSE,,,,,,,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Stick Flow to Cossack,Mobility,Shoulder & Thoracic Mobility,Shoulder Rotation,3,4,FALSE,,,,,,,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Banded Circles,Mobility,Shoulder & Thoracic Mobility,Shoulder Rotation,2,2,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Banded Pull Apart,Mobility,Shoulder & Thoracic Mobility,Scapular Control,2,1,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Behind the Back Supinated Raise,Mobility,Shoulder & Thoracic Mobility,Scapular Control,2,3,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Banded Frontal Raise,Mobility,Shoulder & Thoracic Mobility,Scapular Control,2,2,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Banded Lateral Raise,Mobility,Shoulder & Thoracic Mobility,Scapular Control,2,2,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Banded Dislocate,Mobility,Shoulder & Thoracic Mobility,Shoulder Rotation,2,2,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Banded Overhead Pull Apart,Mobility,Shoulder & Thoracic Mobility,Scapular Control,2,3,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Banded Facepull,Mobility,Shoulder & Thoracic Mobility,Scapular Control,2,2,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Banded External Rotation Pull Apart,Mobility,Shoulder & Thoracic Mobility,Shoulder Rotation,2,3,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Banded External Rotation - Single Arm,Mobility,Shoulder & Thoracic Mobility,Shoulder Rotation,2,3,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Banded Internal Rotation - Single Arm,Mobility,Shoulder & Thoracic Mobility,Shoulder Rotation,2,3,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Banded Thoracic Rotations,Mobility,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,2,2,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Banded Lower Trap Pull,Mobility,Shoulder & Thoracic Mobility,Scapular Control,2,3,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Banded Shoulder Routine,Mobility,Shoulder & Thoracic Mobility,Scapular Control,2,3,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Banded Row,Mobility,Shoulder & Thoracic Mobility,Scapular Control,2,1,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Banded Straight Arm Pull Down,Mobility,Shoulder & Thoracic Mobility,Scapular Control,2,2,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Banded Chin Pull Down,Mobility,Shoulder & Thoracic Mobility,Scapular Control,2,2,FALSE,,,,,,Prehab,,,,,,,,,Scapular Control,Shoulder Rotation,Chest & Thoracic Opening,Lat & Side Body,,,
Bicep Curl - Banded,Strength & Capacity,Pressing Strength,Arms & Accessory,2,1,FALSE,,,,,,Prehab,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Tricep Extension - Banded,Strength & Capacity,Pressing Strength,Arms & Accessory,2,1,FALSE,,,,,,Prehab,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Elephant Walk,Mobility,Hip & Leg Mobility,Front Split Line,2,2,FALSE,,,,,,,,,,,,,,,Front Split Line,Middle Split Line,Hip Rotation,Squat Position,,,
Elephant Walk - Slant Board,Mobility,Hip & Leg Mobility,Front Split Line,2,3,FALSE,,,,,Elephant Walk,,,,,,,,,,Front Split Line,Middle Split Line,Hip Rotation,Squat Position,,,
Jefferson Curl,Strength & Capacity,Loaded Lower Body Strength,Hip Hinge,2,5,FALSE,,,,,,,,,,,,,,,Bilateral Squat,Single-Leg Squat & Lunge,Lateral / Mobility Squat,Hip Hinge,Posterior Chain (knee),Anterior Chain (knee),Calf & Ankle
Jefferson Curl - Wide Leg,Strength & Capacity,Loaded Lower Body Strength,Hip Hinge,2,6,FALSE,,,,,Jefferson Curl,,,,,,,,,,Bilateral Squat,Single-Leg Squat & Lunge,Lateral / Mobility Squat,Hip Hinge,Posterior Chain (knee),Anterior Chain (knee),Calf & Ankle
Jefferson Curl - To Squat,Strength & Capacity,Loaded Lower Body Strength,Hip Hinge,2,6,FALSE,,,,,Jefferson Curl,,,,,,,,,,Bilateral Squat,Single-Leg Squat & Lunge,Lateral / Mobility Squat,Hip Hinge,Posterior Chain (knee),Anterior Chain (knee),Calf & Ankle
Leg Swings - Front,Mobility,Hip & Leg Mobility,Front Split Line,2,1,FALSE,,,,,,,,,,,,,,,Front Split Line,Middle Split Line,Hip Rotation,Squat Position,,,
Leg Swings - Side,Mobility,Hip & Leg Mobility,Middle Split Line,2,1,FALSE,,,,,,,,,,,,,,,Front Split Line,Middle Split Line,Hip Rotation,Squat Position,,,
Leg Swings - Back,Mobility,Hip & Leg Mobility,Front Split Line,3,2,FALSE,,,,,,,,,,,,,,,Front Split Line,Middle Split Line,Hip Rotation,Squat Position,,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Good Morning,Strength & Capacity,Loaded Lower Body Strength,Hip Hinge,2,3,FALSE,,,,,,,,,,,,,,,Bilateral Squat,Single-Leg Squat & Lunge,Lateral / Mobility Squat,Hip Hinge,Posterior Chain (knee),Anterior Chain (knee),Calf & Ankle
Good Morning - Single Leg,Strength & Capacity,Loaded Lower Body Strength,Hip Hinge,2,5,FALSE,,,,,Good Morning,,,,,,,,,,Bilateral Squat,Single-Leg Squat & Lunge,Lateral / Mobility Squat,Hip Hinge,Posterior Chain (knee),Anterior Chain (knee),Calf & Ankle
Good Morning - Wide Leg,Strength & Capacity,Loaded Lower Body Strength,Hip Hinge,2,4,FALSE,,,,,Good Morning,,,,,,,,,,Bilateral Squat,Single-Leg Squat & Lunge,Lateral / Mobility Squat,Hip Hinge,Posterior Chain (knee),Anterior Chain (knee),Calf & Ankle
RDL,Strength & Capacity,Loaded Lower Body Strength,Hip Hinge,2,3,FALSE,,,,,,,,,,,,,,,Bilateral Squat,Single-Leg Squat & Lunge,Lateral / Mobility Squat,Hip Hinge,Posterior Chain (knee),Anterior Chain (knee),Calf & Ankle
Forward Fold Pulses,Mobility,Hip & Leg Mobility,Front Split Line,2,1,FALSE,,,,,,,,,,,,,,,Front Split Line,Middle Split Line,Hip Rotation,Squat Position,,,
Partner Forward Fold,Mobility,Hip & Leg Mobility,Front Split Line,2,3,FALSE,,,,,,,,,,,,,,,Front Split Line,Middle Split Line,Hip Rotation,Squat Position,,,
Partner Hamstring Stretch,Mobility,Hip & Leg Mobility,Front Split Line,2,3,FALSE,,,,,,,,,,,,,,,Front Split Line,Middle Split Line,Hip Rotation,Squat Position,,,
Partner Leg Lift - Front,Mobility,Hip & Leg Mobility,Front Split Line,2,4,FALSE,,,,,,,,,,,,,,,Front Split Line,Middle Split Line,Hip Rotation,Squat Position,,,
Partner Leg Lift - Side,Mobility,Hip & Leg Mobility,Middle Split Line,2,4,FALSE,,,,,,,,,,,,,,,Front Split Line,Middle Split Line,Hip Rotation,Squat Position,,,
Hinge Pick Ups,Strength & Capacity,Loaded Lower Body Strength,Hip Hinge,2,2,FALSE,,,,,,,,,,,,,,,Bilateral Squat,Single-Leg Squat & Lunge,Lateral / Mobility Squat,Hip Hinge,Posterior Chain (knee),Anterior Chain (knee),Calf & Ankle
Partner Hip Compression,Mobility,Hip & Leg Mobility,Front Split Line,3,5,FALSE,,,,,,,,,,,,,,,Front Split Line,Middle Split Line,Hip Rotation,Squat Position,,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Couch Stretch,Mobility,Hip & Leg Mobility,Front Split Line,1,3,FALSE,,,,,,,,,,,,,,,Front Split Line,Middle Split Line,Hip Rotation,Squat Position,,,
Couch Stretch - Super,Mobility,Hip & Leg Mobility,Front Split Line,3,5,FALSE,,,,,Couch Stretch,,,,,,,,,,Front Split Line,Middle Split Line,Hip Rotation,Squat Position,,,
Couch Stretch - Arching,Mobility,Hip & Leg Mobility,Front Split Line,3,6,FALSE,,,,,Couch Stretch,,,,,,,,,,Front Split Line,Middle Split Line,Hip Rotation,Squat Position,,,
Heavy Hip Flexor Stretch,Mobility,Hip & Leg Mobility,Front Split Line,3,6,FALSE,,,,,,,,,,,,,,,Front Split Line,Middle Split Line,Hip Rotation,Squat Position,,,
Long Lunge - Hold,Mobility,Hip & Leg Mobility,Front Split Line,3,3,FALSE,,,,,,,,,,,,,,,Front Split Line,Middle Split Line,Hip Rotation,Squat Position,,,
